feature,importance
meter_lag_1h,33.18183878586169
meter_rolling_mean_24h,25.621961330400204
square_feet,19.774652424768053
meter_rolling_std_24h,13.098877385885093
month,5.975439787556297
meter_lag_24h,5.698861149615202
is_business_hours,5.012793791874728
floor_count,4.732173524560197
site_id,4.606481289034348
meter_lag_3h,4.585377865049805
primary_use_encoded,4.4856840944254985
hour,3.9365471158522602
dayofweek,3.805288481826963
hour_cos,3.5778196769433226
day_sin,2.9072667216779378
meter_lag_2h,2.503450976917797
month_sin,2.3025449644324087
dew_temperature,1.483159130231964
precip_depth_1_hr,1.2491139261732318
year_built,1.1706688731425974
day_cos,1.0072673561938905
air_temperature,0.8717761989259294
temp_deviation,0.7703797929003603
month_cos,0.6707583228788497
hour_sin,0.6097344389398348
is_weekend,0.5879069398735375
sea_level_pressure,0.5794701020797847
comfort_index,0.5461939031957112
building_age,0.29520407331955884
wind_direction,0.1597004684377002
cloud_coverage,0.1258412158669347
wind_speed,0.08205760622316685
